timestamp,event_type,value
152.6111900806427,mouse_move,"""1676,176"""
152.6191349029541,mouse_move,"""1718,194"""
152.6286265850067,mouse_move,"""1756,221"""
152.63559126853943,mouse_move,"""1791,254"""
152.64164757728577,mouse_move,"""1824,299"""
152.6477415561676,mouse_move,"""1856,355"""
152.6537938117981,mouse_move,"""1881,424"""
152.66267824172974,mouse_move,"""1894,504"""
152.671000957489,mouse_move,"""1899,585"""
152.6780924797058,mouse_move,"""1895,677"""
152.68429946899414,mouse_move,"""1873,778"""
152.6901228427887,mouse_move,"""1844,869"""
152.69635486602783,mouse_move,"""1800,965"""
152.7013909816742,mouse_move,"""1752,1042"""
152.71455931663513,mouse_move,"""1691,1111"""
152.7198669910431,mouse_move,"""1606,1180"""
152.72705817222595,mouse_move,"""1518,1235"""
152.73215651512146,mouse_move,"""1426,1237"""
152.73782348632812,mouse_move,"""1331,1231"""
152.7442171573639,mouse_move,"""1237,1226"""
152.75651717185974,mouse_move,"""1150,1218"""
152.76248621940613,mouse_move,"""1069,1217"""
152.76855897903442,mouse_move,"""999,1212"""
152.77455687522888,mouse_move,"""946,1213"""
152.78064274787903,mouse_move,"""902,1207"""
152.7867250442505,mouse_move,"""876,1204"""
152.79881834983826,mouse_move,"""857,1202"""
152.80499649047852,mouse_move,"""843,1201"""
152.81098914146423,mouse_move,"""833,1200"""
152.81713128089905,mouse_move,"""826,1199"""
152.82350659370422,mouse_move,"""819,1198"""
152.83498358726501,mouse_move,"""813,1193"""
152.84154415130615,mouse_move,"""808,1184"""
152.84743237495422,mouse_move,"""803,1173"""
152.85352849960327,mouse_move,"""800,1160"""
152.8595221042633,mouse_move,"""800,1145"""
152.8656187057495,mouse_move,"""800,1124"""
152.87737345695496,mouse_move,"""807,1100"""
152.88534474372864,mouse_move,"""819,1069"""
152.891539812088,mouse_move,"""833,1036"""
152.89663100242615,mouse_move,"""857,999"""
152.90574026107788,mouse_move,"""881,962"""
152.90879487991333,mouse_move,"""910,924"""
152.9159290790558,mouse_move,"""944,888"""
152.92682647705078,mouse_move,"""980,852"""
152.93431520462036,mouse_move,"""1016,819"""
152.9405415058136,mouse_move,"""1054,787"""
152.9486300945282,mouse_move,"""1092,758"""
152.95350432395935,mouse_move,"""1126,735"""
152.9602506160736,mouse_move,"""1159,716"""
152.96564722061157,mouse_move,"""1188,702"""
152.97683882713318,mouse_move,"""1211,692"""
152.98390698432922,mouse_move,"""1226,687"""
152.99097609519958,mouse_move,"""1238,681"""
152.99630761146545,mouse_move,"""1245,679"""
153.0020785331726,mouse_move,"""1251,678"""
153.00817036628723,mouse_move,"""1255,676"""
153.01930117607117,mouse_move,"""1258,676"""
153.02700662612915,mouse_move,"""1259,676"""
153.03295302391052,mouse_move,"""1261,676"""
153.03989219665527,mouse_move,"""1261,676"""
153.04389119148254,mouse_move,"""1262,676"""
153.05068922042847,mouse_move,"""1262,676"""
153.06187748908997,mouse_move,"""1263,676"""
153.06962060928345,mouse_move,"""1263,678"""
153.07549715042114,mouse_move,"""1263,679"""
153.08143544197083,mouse_move,"""1262,681"""
153.08713126182556,mouse_move,"""1260,684"""
153.09821939468384,mouse_move,"""1258,687"""
153.1053192615509,mouse_move,"""1255,691"""
153.11177611351013,mouse_move,"""1249,696"""
153.11895751953125,mouse_move,"""1243,702"""
153.12408924102783,mouse_move,"""1234,708"""
153.13111901283264,mouse_move,"""1222,718"""
153.14068388938904,mouse_move,"""1209,726"""
153.14784407615662,mouse_move,"""1190,739"""
153.1544120311737,mouse_move,"""1167,753"""
153.16042923927307,mouse_move,"""1140,768"""
153.16659212112427,mouse_move,"""1110,786"""
153.17219614982605,mouse_move,"""1080,804"""
153.18318819999695,mouse_move,"""1047,823"""
153.1907811164856,mouse_move,"""1016,843"""
153.1973578929901,mouse_move,"""981,860"""
153.2024393081665,mouse_move,"""953,880"""
153.2085084915161,mouse_move,"""920,899"""
153.2192144393921,mouse_move,"""886,920"""
153.22322487831116,mouse_move,"""856,938"""
153.23140573501587,mouse_move,"""829,955"""
153.2403838634491,mouse_move,"""806,970"""
153.24738216400146,mouse_move,"""789,980"""
153.25238060951233,mouse_move,"""776,989"""
153.26199531555176,mouse_move,"""764,994"""
153.2690770626068,mouse_move,"""757,999"""
153.27510118484497,mouse_move,"""751,1001"""
153.28116297721863,mouse_move,"""749,1002"""
153.28722620010376,mouse_move,"""748,1003"""
153.29634857177734,mouse_move,"""747,1004"""
153.30450129508972,mouse_move,"""746,1004"""
